DANG THAT LOOK GOOD
​
AVG: 5,349
Top 15 value: 107,542

Total value: 100,846:kakera:

#1,247 - Mikoto Urabe 151 ka - https://imgur.com/e3deGho.png
#26,280 - Skrillex · :bronzekey:  (1) 43 ka - https://cdn.imgchest.com/files/99e479cbea9d.png
#810 - Tomo Aizawa · :bronzekey:  (2) 194 ka - https://mudae.net/uploads/8281668/8bVG5nd~cs4DvQF.png
#1,565 - Utaha Kasumigaoka 147 ka - https://mudae.net/uploads/7891137/unLK62L~7kzcadoeqj7.png
#1,078 - Megumi Katou 177 ka - https://mudae.net/uploads/4782006/Vb5QSCG~9ZjdRsP.png
#5,194 - Eriri Spencer Sawamura · :bronzekey:  (1) 83 ka - https://mudae.net/uploads/1518813/c2VZRt1~Z0cNGJH.png
#1,738 - Sumireko Sanshokuin · :bronzekey:  (1) 141 ka - https://mudae.net/uploads/7101114/iFWK8z_~8TfeA91.png
#382 - Alisa Mikhailovna Kujou 290 ka - https://mudae.net/uploads/2182388/duErAH7~6yxkc2vqe27.png
#363 - Ruka Sarashina 336 ka - https://mudae.net/uploads/4679640/D2IJEyj~ehZjRYj.png
#22,767 - Aranea Serket 43 ka - https://cdn.imgchest.com/files/99cae071f123.png
#8,421 - Vriska Serket 70 ka - https://mudae.net/uploads/1831397/FB6FN1R~4apc5wgr9b4.png
#6,898 - Jade Harley 75 ka - https://mudae.net/uploads/2054457/NmJoyZZ~ltIDBrS.png
#29,550 - Porrim Maryam · :bronzekey:  (1) 41 ka - https://imgur.com/ZwJx8KN.png
#1,208 - Anna Yamada · :bronzekey:  (1) 163 ka - https://mudae.net/uploads/7433448/zku4q-o~MF9QylW.png
#41 - Rei Ayanami · :bronzekey:  (1) 853 ka - https://mudae.net/uploads/6186327/1dfhfkq~345xcbznk37.gif
#80 - Misa Amane 703 ka - https://mudae.net/uploads/2919117/9K2S2K3~Bu3kKxP.png
#4,875 - Ranko Honjou 72 ka - https://mudae.net/uploads/6380933/m9Q9zqO~W2tAvQh.png
#1,049 - Yukana Yame 158 ka - https://mudae.net/uploads/7862142/7BfdC6R~eZmkCqP.png
#1,406 - Nayuta Kani · :bronzekey:  (1) 145 ka - https://mudae.net/uploads/4848895/sboxgjG~YEEokF0.png
#15,190 - Miyako Shirakawa 51 ka - https://mudae.net/uploads/6316282/fApMYss~6yxkcnajjz7.png
#18 - Miku Nakano 1,075 ka - https://mudae.net/uploads/8195644/--d05bT~dmiB5xo.png
#2,360 - Kim Pine 110 ka - https://mudae.net/uploads/5056179/x4w7Ts5~e4gdclx2mp4.png
#17,782 - Ayuko Oka 44 ka - https://mudae.net/uploads/7388332/OTT0aWT~rTGE5GD.png
#1 - Zero Two · :bronzekey:  (2) 1,425 ka - https://mudae.net/uploads/2706259/7PeOaXU~OPILwdr.png
#3 - Rem · :bronzekey:  (1) 1,275 ka - https://mudae.net/uploads/4190198/bZZfHPc~bFtvJih.png
#2 - Hatsune Miku 1,262 ka - https://mudae.net/uploads/6428828/pyY436M~5e1GPkQ.png
#10 - Satoru Gojo 1,226 ka - https://mudae.net/uploads/7115130/Z-sFr0e~ZpxD0dS.png
#8 - Nami · :bronzekey:  (2) 1,342 ka - https://mudae.net/uploads/1024687/00EWZ6Z~FmzBWig.png
#6 - Saber 1,208 ka - https://mudae.net/uploads/8363458/HLdRLu_~30THFCm.png
#11 - Asuna 1,197 ka - https://mudae.net/uploads/1046776/qUgrEWN~hopBltM.png
#14 - Mikasa Ackerman 1,144 ka - https://mudae.net/uploads/8291922/S0psmB9~R7HWV9q.png
#12 - Albedo · :bronzekey:  (2) 1,238 ka - https://mudae.net/uploads/8560090/jvLa3nQ~2FtMIbF.png
#15 - Makima · :silverkey:  (4) 1,338 ka - https://mudae.net/uploads/6905958/zofojb5~OKZZe8P.gif
#17 - Nico Robin 1,088 ka - https://mudae.net/uploads/2705427/PLltDR4~oj8o5zO.png
